"ds";"y"
2022-08-10;"11667612.6100000"
2022-08-11;"10594254.0200000"
2022-08-12;"3960359.3800000"
2022-08-13;"7118955.9200000"
2022-08-14;"3118261.3000000"
2022-08-15;"6776079.4700000"
2022-08-16;"8718796.1300000"
2022-08-17;"11922825.0800000"
2022-08-18;"10735888.4600000"
2022-08-19;"5350909.3400000"
2022-08-20;"7617611.6300000"
2022-08-21;"3955582.4100000"
2022-08-22;"7406000.5100000"
2022-08-23;"10505489.7200000"
2022-08-24;"12114169.0900000"
2022-08-25;"11179069.8400000"
2022-08-26;"6894917.2200000"
2022-08-27;"7257337.8700000"
2022-08-28;"3614670.4800000"
2022-08-29;"10230883.6500000"
2022-08-30;"11701613.5800000"
2022-08-31;"22329462.3900000"
2022-09-01;"4295035.1100000"
2022-09-02;"1957619.9900000"
2022-09-03;"5476194.1500000"
2022-09-04;"2271532.7200000"
2022-09-05;"5865557.3800000"
2022-09-06;"6222537.9900000"
2022-09-07;"4581034.4600000"
2022-09-08;"10913234.4700000"
2022-09-09;"4010964.5900000"
2022-09-10;"6390783.2900000"
2022-09-11;"3017219.8500000"
2022-09-12;"6523201.1300000"
2022-09-13;"8694062.1600000"
2022-09-14;"9705463.5800000"
2022-09-15;"9280851.2400000"
2022-09-16;"2801723.2100000"
2022-09-17;"6194863.8300000"
2022-09-18;"2991378.2600000"
2022-09-19;"5579859.4200000"
2022-09-20;"8718238.0600000"
2022-09-21;"10217627.6400000"
2022-09-22;"9387442.2500000"
2022-09-23;"4187725.3200000"
2022-09-24;"6873441.5300000"
2022-09-25;"2687134.4000000"
2022-09-26;"8251491.6200000"
2022-09-27;"8832072.6200000"
2022-09-28;"11488607.2400000"
2022-09-29;"10998526.3800000"
2022-09-30;"14606789.7400000"
2022-10-01;"4134431.0300000"
2022-10-02;"1123837.5000000"
2022-10-03;"4787783.9500000"
2022-10-04;"6045579.2800000"
2022-10-05;"6390942.2300000"
2022-10-06;"9163302.9200000"
2022-10-07;"4612730.8900000"
2022-10-08;"5680289.3400000"
2022-10-09;"3564071.9200000"
2022-10-10;"6104094.0500000"
2022-10-11;"7700133.1900000"
2022-10-12;"4217257.7400000"
2022-10-13;"10593149.1500000"
2022-10-14;"6860183.0900000"
2022-10-15;"6809600.2800000"
2022-10-16;"2841467.5200000"
2022-10-17;"7571379.6800000"
2022-10-18;"10828144.7100000"
2022-10-19;"10673530.1600000"
2022-10-20;"11731717.9700000"
2022-10-21;"5028307.8100000"
2022-10-22;"7338197.4400000"
2022-10-23;"3244908.7300000"
2022-10-24;"8468534.6100000"
2022-10-25;"10136642.6700000"
2022-10-26;"12452253.9800000"
2022-10-27;"10770900.0300000"
2022-10-28;"6634456.1200000"
2022-10-29;"7136202.6100000"
2022-10-30;"4261481.4500000"
2022-10-31;"15341692.4100000"
2022-11-01;"2969694.3800000"
2022-11-02;"2502689.1400000"
2022-11-03;"8151671.5900000"
2022-11-04;"4422976.2400000"
2022-11-05;"5877029.7300000"
2022-11-06;"2196541.2800000"
2022-11-07;"6018046.1600000"
2022-11-08;"9460231.4000000"
2022-11-09;"11753689.5800000"
2022-11-10;"10873256.6100000"
2022-11-11;"7055461.3200000"
2022-11-12;"7606435.2200000"
2022-11-13;"3702018.9700000"
2022-11-14;"5939692.4800000"
2022-11-15;"5703087.1000000"
2022-11-16;"10061622.9200000"
2022-11-17;"10000881.5100000"
2022-11-18;"6084791.6300000"
2022-11-19;"7852059.9100000"
2022-11-20;"2274435.1300000"
2022-11-21;"7419818.8400000"
2022-11-22;"12807140.2000000"
2022-11-23;"11728299.5500000"
2022-11-24;"10192934.5700000"
2022-11-25;"5417720.1100000"
2022-11-26;"6954582.8800000"
2022-11-27;"3200136.8500000"
2022-11-28;"8280099.1900000"
